feature1,feature2,label
-0.3047,-0.2172,-1.0
0.1792,0.132,1.0
0.3464,0.606,1.0
0.07855,-0.2383,-1.0
-0.4534,-0.34,-1.0
0.2194,0.319,1.0
-0.3428,-0.4907,-1.0
0.01933,0.1403,1.0
0.3943,0.3992,1.0
0.3877,0.3948,1.0
0.5156,0.4043,1.0
-0.775,-0.1526,-1.0
-0.1896,0.00294,-1.0
-0.3801,-0.3354,-1.0
0.3076,0.0833,1.0
0.732,0.3962,1.0
-0.4263,-0.01845,-1.0
-0.328,-0.3875,-1.0
-0.606,-0.405,-1.0
-0.475,0.02353,-1.0
0.2974,0.33,1.0
0.3198,0.2556,1.0
0.2764,0.573,1.0
-0.1765,-0.4353,-1.0
0.4778,0.2417,1.0
0.3672,-0.1628,1.0
-0.1396,-0.5063,-1.0
-0.1349,0.1239,-1.0
-0.4553,-0.02808,-1.0
0.609,0.3054,1.0
0.0791,0.1746,1.0
-0.573,-0.324,-1.0
-0.2439,-0.3188,-1.0
-0.2261,-0.1581,-1.0
0.4634,0.606,1.0
0.3562,0.6294,1.0
-0.483,0.01645,-1.0
0.4795,0.58,1.0
0.143,-0.1741,-1.0
0.43,0.1333,1.0
0.3364,0.2417,1.0
-0.06247,-0.2458,-1.0
-0.1592,-0.2573,-1.0
-0.2324,-0.1276,-1.0
-0.07623,-0.1392,-1.0
0.4114,0.0835,1.0
0.583,0.10785,1.0
-0.614,-0.214,-1.0
-0.144,-0.1555,-1.0
-0.3315,-0.298,-1.0
-0.05643,-0.302,-1.0
-0.337,-0.3083,-1.0
0.582,-0.2021,1.0
-0.2006,-0.1456,-1.0
0.4172,0.686,1.0
0.05032,0.1337,1.0
-0.2039,-0.4683,-1.0
-0.4631,-0.1377,-1.0
-0.4275,-0.2722,-1.0
0.5415,0.3276,1.0
-0.3708,-0.2915,-1.0
-0.0863,-0.10126,-1.0
-0.3596,-0.1458,-1.0
-0.0633,-0.2448,-1.0
0.4333,0.4429,1.0
-0.1222,-0.2573,-1.0
-0.374,-0.1592,-1.0
0.533,0.3452,1.0
0.14,0.4402,1.0
0.2822,0.629,1.0
0.309,0.619,1.0
-0.72,-0.4087,-1.0
0.4482,0.2456,1.0
-0.2915,-0.456,-1.0
-0.67,-0.542,-1.0
-0.10724,-0.552,-1.0
0.2068,0.685,1.0
-0.5107,-0.3965,-1.0
-0.02467,-0.421,-1.0
-0.1334,-0.1442,-1.0
0.32,-0.00733,1.0
-0.2788,-0.3635,-1.0
-0.4387,-0.1681,-1.0
0.2423,0.5825,1.0
-0.5107,0.048,-1.0
0.451,0.5137,1.0
-0.1219,-0.485,-1.0
-0.2112,-0.211,-1.0
-0.01627,-0.5566,-1.0
-0.06024,0.3718,-1.0
0.0367,-0.12427,-1.0
0.02292,-0.56,-1.0
-0.04407,-0.166,-1.0
0.3237,0.4143,1.0
0.04837,0.1016,-1.0
-0.03638,-0.37,-1.0
0.251,0.4045,1.0
-0.07996,-0.4578,-1.0
0.3726,0.3022,1.0
-0.3447,-0.3367,-1.0
0.3708,-0.002073,1.0
0.3862,0.2742,1.0
0.4194,0.354,1.0
0.2515,0.3992,1.0
-0.565,-0.396,-1.0
-0.27,-0.3174,-1.0
-0.4707,-0.1573,-1.0
0.3464,0.2437,1.0
0.02736,-0.443,-1.0
-0.449,-0.2314,-1.0
0.3142,0.4412,1.0
